Id,WnvPresent
1,0.0
2,0.0
3,0.2
4,0.2
5,0.1
6,0.2
7,0.2
8,0.2
9,0.1
10,0.0
11,0.2
12,0.2
13,0.1
14,0.2
15,0.2
16,0.2
17,0.0
18,0.0
19,0.1
20,0.1
21,0.0
22,0.1
23,0.1
24,0.1
25,0.0
26,0.0
27,0.2
28,0.1
29,0.0
30,0.1
31,0.1
32,0.1
33,0.0
34,0.0
35,0.1
36,0.1
37,0.0
38,0.1
39,0.1
40,0.1
41,0.0
42,0.0
43,0.1
44,0.1
45,0.0
46,0.1
47,0.1
48,0.1
49,0.0
50,0.0
51,0.1
52,0.1
53,0.0
54,0.1
55,0.1
56,0.1
57,0.0
58,0.0
59,0.2
60,0.1
61,0.0
62,0.1
63,0.1
64,0.1
65,0.0
66,0.0
67,0.1
68,0.1
69,0.0
70,0.1
71,0.1
72,0.1
73,0.0
74,0.0
75,0.1
76,0.1
77,0.0
78,0.1
79,0.1
80,0.1
81,0.0
82,0.0
83,0.1
84,0.1
85,0.0
86,0.1
87,0.1
88,0.1
89,0.0
90,0.0
91,0.1
92,0.1
93,0.0
94,0.1
95,0.1
96,0.1
97,0.0
98,0.0
99,0.1
100,0.1
101,0.0
102,0.1
103,0.1
104,0.1
105,0.0
106,0.0
107,0.1
108,0.1
109,0.0
110,0.1
111,0.1
112,0.1
113,0.0
114,0.0
115,0.1
116,0.1
117,0.0
118,0.1
119,0.1
120,0.1
121,0.0
122,0.0
123,0.2
124,0.1
125,0.0
126,0.1
127,0.1
128,0.1
129,0.0
130,0.0
131,0.1
132,0.1
133,0.0
134,0.1
135,0.1
136,0.1
137,0.0
138,0.0
139,0.1
140,0.1
141,0.0
142,0.1
143,0.1
144,0.1
145,0.0
146,0.0
147,0.1
148,0.1
149,0.0
150,0.1
151,0.1
152,0.1
153,0.0
154,0.0
155,0.1
156,0.1
157,0.0
158,0.1
159,0.1
160,0.1
161,0.0
162,0.0
163,0.1
164,0.1
165,0.0
166,0.1
167,0.1
168,0.1
169,0.0
170,0.0
171,0.3
172,0.2
173,0.1
174,0.2
175,0.2
176,0.2
177,0.0
178,0.0
179,0.2
180,0.2
181,0.1
182,0.2
183,0.2
184,0.2
185,0.0
186,0.0
187,0.3
188,0.2
189,0.1
190,0.2
191,0.2
192,0.2
193,0.0
194,0.0
195,0.1
196,0.1
197,0.0
198,0.1
199,0.1
200,0.1
201,0.0
202,0.0
203,0.3
204,0.2
205,0.1
206,0.2
207,0.2
208,0.2
209,0.0
210,0.0
211,0.1
212,0.1
213,0.0
214,0.1
215,0.1
216,0.1
217,0.0
218,0.0
219,0.2
220,0.1
221,0.0
222,0.1
223,0.1
224,0.1
225,0.0
226,0.0
227,0.1
228,0.1
229,0.0
230,0.1
231,0.1
232,0.1
233,0.0
234,0.0
235,0.1
236,0.1
237,0.0
238,0.1
239,0.1
240,0.1
241,0.0
242,0.0
243,0.2
244,0.2
245,0.1
246,0.2
247,0.2
